Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;;Ambos sexos;TOTAL EDADES;TOTAL;2021;47.385.107
Total Nacional;;Ambos sexos;TOTAL EDADES;TOTAL;2020;47.450.795
Total Nacional;;Ambos sexos;TOTAL EDADES;TOTAL;2019;47.026.208
Total Nacional;;Ambos sexos;TOTAL EDADES;Españoles;2021;41.944.959
Total Nacional;;Ambos sexos;TOTAL EDADES;Españoles;2020;42.016.642
Total Nacional;;Ambos sexos;TOTAL EDADES;Españoles;2019;41.989.330
Total Nacional;;Ambos sexos;TOTAL EDADES;Extranjeros;2021;5.440.148
Total Nacional;;Ambos sexos;TOTAL EDADES;Extranjeros;2020;5.434.153
Total Nacional;;Ambos sexos;TOTAL EDADES;Extranjeros;2019;5.036.878
Total Nacional;;Ambos sexos;0-15 años;TOTAL;2021;7.183.373
Total Nacional;;Ambos sexos;0-15 años;TOTAL;2020;7.320.973
Total Nacional;;Ambos sexos;0-15 años;TOTAL;2019;7.364.092
Total Nacional;;Ambos sexos;0-15 años;Españoles;2021;6.366.354
Total Nacional;;Ambos sexos;0-15 años;Españoles;2020;6.493.951
Total Nacional;;Ambos sexos;0-15 años;Españoles;2019;6.589.009
Total Nacional;;Ambos sexos;0-15 años;Extranjeros;2021;817.019
Total Nacional;;Ambos sexos;0-15 años;Extranjeros;2020;827.022
Total Nacional;;Ambos sexos;0-15 años;Extranjeros;2019;775.083
Total Nacional;;Ambos sexos;16-64 años;TOTAL;2021;30.890.906
Total Nacional;;Ambos sexos;16-64 años;TOTAL;2020;30.911.441
Total Nacional;;Ambos sexos;16-64 años;TOTAL;2019;30.604.923
Total Nacional;;Ambos sexos;16-64 años;Españoles;2021;26.651.738
Total Nacional;;Ambos sexos;16-64 años;Españoles;2020;26.676.038
Total Nacional;;Ambos sexos;16-64 años;Españoles;2019;26.687.026
Total Nacional;;Ambos sexos;16-64 años;Extranjeros;2021;4.239.168
Total Nacional;;Ambos sexos;16-64 años;Extranjeros;2020;4.235.403
Total Nacional;;Ambos sexos;16-64 años;Extranjeros;2019;3.917.897
Total Nacional;;Ambos sexos;65 y más;TOTAL;2021;9.310.828
Total Nacional;;Ambos sexos;65 y más;TOTAL;2020;9.218.381
Total Nacional;;Ambos sexos;65 y más;TOTAL;2019;9.057.193
Total Nacional;;Ambos sexos;65 y más;Españoles;2021;8.926.867
Total Nacional;;Ambos sexos;65 y más;Españoles;2020;8.846.653
Total Nacional;;Ambos sexos;65 y más;Españoles;2019;8.713.295
Total Nacional;;Ambos sexos;65 y más;Extranjeros;2021;383.961
Total Nacional;;Ambos sexos;65 y más;Extranjeros;2020;371.728
Total Nacional;;Ambos sexos;65 y más;Extranjeros;2019;343.898
Total Nacional;;Hombres;TOTAL EDADES;TOTAL;2021;23.222.953
Total Nacional;;Hombres;TOTAL EDADES;TOTAL;2020;23.255.590
Total Nacional;;Hombres;TOTAL EDADES;TOTAL;2019;23.042.428
Total Nacional;;Hombres;TOTAL EDADES;Españoles;2021;20.497.801
Total Nacional;;Hombres;TOTAL EDADES;Españoles;2020;20.535.713
Total Nacional;;Hombres;TOTAL EDADES;Españoles;2019;20.522.283
Total Nacional;;Hombres;TOTAL EDADES;Extranjeros;2021;2.725.152
Total Nacional;;Hombres;TOTAL EDADES;Extranjeros;2020;2.719.877
Total Nacional;;Hombres;TOTAL EDADES;Extranjeros;2019;2.520.145
Total Nacional;;Hombres;0-15 años;TOTAL;2021;3.692.744
Total Nacional;;Hombres;0-15 años;TOTAL;2020;3.764.324
Total Nacional;;Hombres;0-15 años;TOTAL;2019;3.785.209
Total Nacional;;Hombres;0-15 años;Españoles;2021;3.272.369
Total Nacional;;Hombres;0-15 años;Españoles;2020;3.338.410
Total Nacional;;Hombres;0-15 años;Españoles;2019;3.386.006
Total Nacional;;Hombres;0-15 años;Extranjeros;2021;420.375
Total Nacional;;Hombres;0-15 años;Extranjeros;2020;425.914
Total Nacional;;Hombres;0-15 años;Extranjeros;2019;399.203
Total Nacional;;Hombres;16-64 años;TOTAL;2021;15.497.164
Total Nacional;;Hombres;16-64 años;TOTAL;2020;15.503.734
Total Nacional;;Hombres;16-64 años;TOTAL;2019;15.345.463
Total Nacional;;Hombres;16-64 años;Españoles;2021;13.371.711
Total Nacional;;Hombres;16-64 años;Españoles;2020;13.383.065
Total Nacional;;Hombres;16-64 años;Españoles;2019;13.386.114
Total Nacional;;Hombres;16-64 años;Extranjeros;2021;2.125.453
Total Nacional;;Hombres;16-64 años;Extranjeros;2020;2.120.669
Total Nacional;;Hombres;16-64 años;Extranjeros;2019;1.959.349
Total Nacional;;Hombres;65 y más;TOTAL;2021;4.033.045
Total Nacional;;Hombres;65 y más;TOTAL;2020;3.987.532
Total Nacional;;Hombres;65 y más;TOTAL;2019;3.911.756
Total Nacional;;Hombres;65 y más;Españoles;2021;3.853.721
Total Nacional;;Hombres;65 y más;Españoles;2020;3.814.238
Total Nacional;;Hombres;65 y más;Españoles;2019;3.750.163
Total Nacional;;Hombres;65 y más;Extranjeros;2021;179.324
Total Nacional;;Hombres;65 y más;Extranjeros;2020;173.294
Total Nacional;;Hombres;65 y más;Extranjeros;2019;161.593
Total Nacional;;Mujeres;TOTAL EDADES;TOTAL;2021;24.162.154
Total Nacional;;Mujeres;TOTAL EDADES;TOTAL;2020;24.195.205
Total Nacional;;Mujeres;TOTAL EDADES;TOTAL;2019;23.983.780
Total Nacional;;Mujeres;TOTAL EDADES;Españoles;2021;21.447.158
Total Nacional;;Mujeres;TOTAL EDADES;Españoles;2020;21.480.929
Total Nacional;;Mujeres;TOTAL EDADES;Españoles;2019;21.467.047
Total Nacional;;Mujeres;TOTAL EDADES;Extranjeros;2021;2.714.996
Total Nacional;;Mujeres;TOTAL EDADES;Extranjeros;2020;2.714.276
Total Nacional;;Mujeres;TOTAL EDADES;Extranjeros;2019;2.516.733
Total Nacional;;Mujeres;0-15 años;TOTAL;2021;3.490.629
Total Nacional;;Mujeres;0-15 años;TOTAL;2020;3.556.649
Total Nacional;;Mujeres;0-15 años;TOTAL;2019;3.578.883
Total Nacional;;Mujeres;0-15 años;Españoles;2021;3.093.985
Total Nacional;;Mujeres;0-15 años;Españoles;2020;3.155.541
Total Nacional;;Mujeres;0-15 años;Españoles;2019;3.203.003
Total Nacional;;Mujeres;0-15 años;Extranjeros;2021;396.644
Total Nacional;;Mujeres;0-15 años;Extranjeros;2020;401.108
Total Nacional;;Mujeres;0-15 años;Extranjeros;2019;375.880
Total Nacional;;Mujeres;16-64 años;TOTAL;2021;15.393.742
Total Nacional;;Mujeres;16-64 años;TOTAL;2020;15.407.707
Total Nacional;;Mujeres;16-64 años;TOTAL;2019;15.259.460
Total Nacional;;Mujeres;16-64 años;Españoles;2021;13.280.027
Total Nacional;;Mujeres;16-64 años;Españoles;2020;13.292.973
Total Nacional;;Mujeres;16-64 años;Españoles;2019;13.300.912
Total Nacional;;Mujeres;16-64 años;Extranjeros;2021;2.113.715
Total Nacional;;Mujeres;16-64 años;Extranjeros;2020;2.114.734
Total Nacional;;Mujeres;16-64 años;Extranjeros;2019;1.958.548
Total Nacional;;Mujeres;65 y más;TOTAL;2021;5.277.783
Total Nacional;;Mujeres;65 y más;TOTAL;2020;5.230.849
Total Nacional;;Mujeres;65 y más;TOTAL;2019;5.145.437
Total Nacional;;Mujeres;65 y más;Españoles;2021;5.073.146
Total Nacional;;Mujeres;65 y más;Españoles;2020;5.032.415
Total Nacional;;Mujeres;65 y más;Españoles;2019;4.963.132
Total Nacional;;Mujeres;65 y más;Extranjeros;2021;204.637
Total Nacional;;Mujeres;65 y más;Extranjeros;2020;198.434
Total Nacional;;Mujeres;65 y más;Extranjeros;2019;182.305
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;TOTAL;2021;8.472.407
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;TOTAL;2020;8.464.411
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;TOTAL;2019;8.414.240
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Españoles;2021;7.760.491
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Españoles;2020;7.762.393
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Españoles;2019;7.758.685
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Extranjeros;2021;711.916
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Extranjeros;2020;702.018
Total Nacional;01 Andalucía;Ambos sexos;TOTAL EDADES;Extranjeros;2019;655.555
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;TOTAL;2021;1.376.801
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;TOTAL;2020;1.402.198
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;TOTAL;2019;1.415.439
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Españoles;2021;1.276.255
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Españoles;2020;1.300.962
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Españoles;2019;1.321.150
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Extranjeros;2021;100.546
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Extranjeros;2020;101.236
Total Nacional;01 Andalucía;Ambos sexos;0-15 años;Extranjeros;2019;94.289
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;TOTAL;2021;5.600.213
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;TOTAL;2020;5.591.400
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;TOTAL;2019;5.558.699
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Españoles;2021;5.069.374
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Españoles;2020;5.068.503
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Españoles;2019;5.070.866
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Extranjeros;2021;530.839
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Extranjeros;2020;522.897
Total Nacional;01 Andalucía;Ambos sexos;16-64 años;Extranjeros;2019;487.833
Total Nacional;01 Andalucía;Ambos sexos;65 y más;TOTAL;2021;1.495.393
Total Nacional;01 Andalucía;Ambos sexos;65 y más;TOTAL;2020;1.470.813
Total Nacional;01 Andalucía;Ambos sexos;65 y más;TOTAL;2019;1.440.102
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Españoles;2021;1.414.862
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Españoles;2020;1.392.928
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Españoles;2019;1.366.669
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2021;80.531
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2020;77.885
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2019;73.433
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2021;4.173.339
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2020;4.170.605
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2019;4.147.167
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2021;3.814.304
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2020;3.816.350
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2019;3.815.319
