Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.222.290.000
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.119.010.000
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.245.513.000
Total Nacional;;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);33.378.000
Total Nacional;;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;31.461.000
Total Nacional;;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;30.751.000
Total Nacional;;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);185.441.000
Total Nacional;;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;164.062.000
Total Nacional;;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;178.800.000
Total Nacional;;Valor;C. - De las cuales: Industria manufacturera;2021(P);138.189.000
Total Nacional;;Valor;C. - De las cuales: Industria manufacturera;2020;122.991.000
Total Nacional;;Valor;C. - De las cuales: Industria manufacturera;2019;135.933.000
Total Nacional;;Valor;F. Construcción;2021(P);62.978.000
Total Nacional;;Valor;F. Construcción;2020;61.270.000
Total Nacional;;Valor;F. Construcción;2019;70.821.000
Total Nacional;;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);242.728.000
Total Nacional;;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;204.879.000
Total Nacional;;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;268.322.000
Total Nacional;;Valor;J. Información y comunicaciones;2021(P);43.318.000
Total Nacional;;Valor;J. Información y comunicaciones;2020;40.259.000
Total Nacional;;Valor;J. Información y comunicaciones;2019;42.200.000
Total Nacional;;Valor;K. Actividades financieras y de seguros;2021(P);46.613.000
Total Nacional;;Valor;K. Actividades financieras y de seguros;2020;45.940.000
Total Nacional;;Valor;K. Actividades financieras y de seguros;2019;44.003.000
Total Nacional;;Valor;L. Actividades inmobiliarias;2021(P);133.896.000
Total Nacional;;Valor;L. Actividades inmobiliarias;2020;130.715.000
Total Nacional;;Valor;L. Actividades inmobiliarias;2019;130.503.000
Total Nacional;;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);100.928.000
Total Nacional;;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;91.938.000
Total Nacional;;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;103.110.000
Total Nacional;;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);211.221.000
Total Nacional;;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;206.700.000
Total Nacional;;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;205.729.000
Total Nacional;;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);45.352.000
Total Nacional;;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;43.862.000
Total Nacional;;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;55.380.000
Total Nacional;;Valor;Valor añadido bruto total;2021(P);1.105.853.000
Total Nacional;;Valor;Valor añadido bruto total;2020;1.021.086.000
Total Nacional;;Valor;Valor añadido bruto total;2019;1.129.619.000
Total Nacional;;Valor;Impuestos netos sobre los productos;2021(P);116.437.000
Total Nacional;;Valor;Impuestos netos sobre los productos;2020;97.924.000
Total Nacional;;Valor;Impuestos netos sobre los productos;2019;115.894.000
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.222.290.000
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.119.010.000
Total Nacional;;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.245.513.000
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);164.003.435
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;148.779.089
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;164.929.489
Total Nacional;01 Andalucía;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);10.862.905
Total Nacional;01 Andalucía;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;9.659.346
Total Nacional;01 Andalucía;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;9.079.829
Total Nacional;01 Andalucía;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);17.856.427
Total Nacional;01 Andalucía;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;15.272.457
Total Nacional;01 Andalucía;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;17.232.082
Total Nacional;01 Andalucía;Valor;C. - De las cuales: Industria manufacturera;2021(P);11.165.317
Total Nacional;01 Andalucía;Valor;C. - De las cuales: Industria manufacturera;2020;9.570.097
Total Nacional;01 Andalucía;Valor;C. - De las cuales: Industria manufacturera;2019;11.124.305
Total Nacional;01 Andalucía;Valor;F. Construcción;2021(P);9.256.853
Total Nacional;01 Andalucía;Valor;F. Construcción;2020;8.918.988
Total Nacional;01 Andalucía;Valor;F. Construcción;2019;10.489.402
Total Nacional;01 Andalucía;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);31.594.093
Total Nacional;01 Andalucía;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;26.487.461
Total Nacional;01 Andalucía;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;34.808.451
Total Nacional;01 Andalucía;Valor;J. Información y comunicaciones;2021(P);3.131.279
Total Nacional;01 Andalucía;Valor;J. Información y comunicaciones;2020;2.939.019
Total Nacional;01 Andalucía;Valor;J. Información y comunicaciones;2019;2.987.256
Total Nacional;01 Andalucía;Valor;K. Actividades financieras y de seguros;2021(P);5.554.191
Total Nacional;01 Andalucía;Valor;K. Actividades financieras y de seguros;2020;5.524.922
Total Nacional;01 Andalucía;Valor;K. Actividades financieras y de seguros;2019;5.282.605
Total Nacional;01 Andalucía;Valor;L. Actividades inmobiliarias;2021(P);19.747.665
Total Nacional;01 Andalucía;Valor;L. Actividades inmobiliarias;2020;19.211.915
Total Nacional;01 Andalucía;Valor;L. Actividades inmobiliarias;2019;19.116.983
Total Nacional;01 Andalucía;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);10.046.304
Total Nacional;01 Andalucía;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;8.832.463
Total Nacional;01 Andalucía;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;10.317.005
Total Nacional;01 Andalucía;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);34.131.785
Total Nacional;01 Andalucía;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;32.973.273
Total Nacional;01 Andalucía;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;32.862.994
Total Nacional;01 Andalucía;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);6.198.744
Total Nacional;01 Andalucía;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;5.939.662
Total Nacional;01 Andalucía;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;7.406.323
Total Nacional;01 Andalucía;Valor;Valor añadido bruto total;2021(P);148.380.246
Total Nacional;01 Andalucía;Valor;Valor añadido bruto total;2020;135.759.506
Total Nacional;01 Andalucía;Valor;Valor añadido bruto total;2019;149.582.930
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2021(P);15.623.189
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2020;13.019.583
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2019;15.346.559
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);164.003.435
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;148.779.089
