,value,percentage,datetime,Tipo,Id_Comunidad
0,17830.239,1,2019-01-01T00:00:00.000+01:00,demanda,8744
1,16019.527,1,2019-02-01T00:00:00.000+01:00,demanda,8744
2,16598.235,1,2019-03-01T00:00:00.000+01:00,demanda,8744
3,15221.094,1,2019-04-01T00:00:00.000+02:00,demanda,8744
4,16753.54,1,2019-05-01T00:00:00.000+02:00,demanda,8744
5,16642.239,1,2019-06-01T00:00:00.000+02:00,demanda,8744
6,18185.252,1,2019-07-01T00:00:00.000+02:00,demanda,8744
7,18656.52,1,2019-08-01T00:00:00.000+02:00,demanda,8744
8,17603.892,1,2019-09-01T00:00:00.000+02:00,demanda,8744
9,17669.152,1,2019-10-01T00:00:00.000+02:00,demanda,8744
10,17157.331,1,2019-11-01T00:00:00.000+01:00,demanda,8744
11,17167.378,1,2019-12-01T00:00:00.000+01:00,demanda,8744
12,17835.113,1,2020-01-01T00:00:00.000+01:00,demanda,8744
13,15770.011,1,2020-02-01T00:00:00.000+01:00,demanda,8744
14,16608.196,1,2020-03-01T00:00:00.000+01:00,demanda,8744
15,15531.111,1,2020-04-01T00:00:00.000+02:00,demanda,8744
16,15827.471,1,2020-05-01T00:00:00.000+02:00,demanda,8744
17,15839.422,1,2020-06-01T00:00:00.000+02:00,demanda,8744
18,17917.496,1,2020-07-01T00:00:00.000+02:00,demanda,8744
19,18096.779,1,2020-08-01T00:00:00.000+02:00,demanda,8744
20,16830.054,1,2020-09-01T00:00:00.000+02:00,demanda,8744
21,16095.768,1,2020-10-01T00:00:00.000+02:00,demanda,8744
22,15792.687,1,2020-11-01T00:00:00.000+01:00,demanda,8744
23,16517.623,1,2020-12-01T00:00:00.000+01:00,demanda,8744
24,18538.656,1,2021-01-01T00:00:00.000+01:00,demanda,8744
25,15215.238,1,2021-02-01T00:00:00.000+01:00,demanda,8744
26,15340.218,1,2021-03-01T00:00:00.000+01:00,demanda,8744
27,15128.393,1,2021-04-01T00:00:00.000+02:00,demanda,8744
28,15515.205,1,2021-05-01T00:00:00.000+02:00,demanda,8744
29,15653.908,1,2021-06-01T00:00:00.000+02:00,demanda,8744
30,17409.528,1,2021-07-01T00:00:00.000+02:00,demanda,8744
31,17829.99,1,2021-08-01T00:00:00.000+02:00,demanda,8744
32,16921.593,1,2021-09-01T00:00:00.000+02:00,demanda,8744
33,16448.789,1,2021-10-01T00:00:00.000+02:00,demanda,8744
34,16035.752,1,2021-11-01T00:00:00.000+01:00,demanda,8744
35,16346.891,1,2021-12-01T00:00:00.000+01:00,demanda,8744
36,18530.186,1,2019-01-01T00:00:00.000+01:00,demanda,8745
37,15963.18,1,2019-02-01T00:00:00.000+01:00,demanda,8745
38,16622.099,1,2019-03-01T00:00:00.000+01:00,demanda,8745
39,15384.125,1,2019-04-01T00:00:00.000+02:00,demanda,8745
40,16956.698,1,2019-05-01T00:00:00.000+02:00,demanda,8745
41,17069.632,1,2019-06-01T00:00:00.000+02:00,demanda,8745
42,19981.725,1,2019-07-01T00:00:00.000+02:00,demanda,8745
43,21285.859,1,2019-08-01T00:00:00.000+02:00,demanda,8745
44,18638.026,1,2019-09-01T00:00:00.000+02:00,demanda,8745
45,17507.116,1,2019-10-01T00:00:00.000+02:00,demanda,8745
46,16251.095,1,2019-11-01T00:00:00.000+01:00,demanda,8745
47,16192.087,1,2019-12-01T00:00:00.000+01:00,demanda,8745
48,17812.714,1,2020-01-01T00:00:00.000+01:00,demanda,8745
49,15817.3,1,2020-02-01T00:00:00.000+01:00,demanda,8745
50,15735.69,1,2020-03-01T00:00:00.000+01:00,demanda,8745
51,14737.721,1,2020-04-01T00:00:00.000+02:00,demanda,8745
52,15573.759,1,2020-05-01T00:00:00.000+02:00,demanda,8745
53,16708.38,1,2020-06-01T00:00:00.000+02:00,demanda,8745
54,21140.943,1,2020-07-01T00:00:00.000+02:00,demanda,8745
55,22335.731,1,2020-08-01T00:00:00.000+02:00,demanda,8745
56,18793.899,1,2020-09-01T00:00:00.000+02:00,demanda,8745
